model_id,org,size,family,FIM,languages,glsl-trained,shortname
deepseek-coder-1.3b-base,deepseek-ai,1.3,deepseek-coder,yes,87,yes,ds13
deepseek-coder-5.7bmqa-base,deepseek-ai,5.7,deepseek-coder,yes,87,yes,ds57
deepseek-coder-6.7b-base,deepseek-ai,6.7,deepseek-coder,yes,87,yes,ds67
deepseek-coder-7b-base-v1.5,deepseek-ai,7,deepseek-coder1.5,no,87,unknown,ds7v
CodeQwen1.5-7B,Qwen,7,CodeQwen,yes?,92,yes,coq7
stable-code-3b,stabilityai,3,stable-code,yes,18,no,sbc3
granite-3b-code-base,ibm-granite,3,granite-code,yes,116,yes,gra3
granite-8b-code-base,ibm-granite,8,granite-code,yes,116,yes,gra8
granite-20b-code-base,ibm-granite,20,granite-code,yes,116,yes,gr20
phi-2,microsoft,2.7,phi,no,1,no,phi2
phi-1_5,microsoft,1.3,phi,no,1,no,ph15
phi-1,microsoft,1.3,phi,no,1,no,phi2
codegemma-2b,google,2,codegemma,yes,8,unknown,cge2
codegemma-7b,google,7,codegemma,yes,8,unknown,cge7
starcoder2-3b,bigcode,3,starcoder2,yes,17,no,sc23
starcoder2-7b,bigcode,7,starcoder2,yes,17,no,sc27
starcoder2-15b,bigcode,15,starcoder2,yes,619,yes,sc15
CodeLlama-7b-hf,meta-llama,7,CodeLlama,yes,0,unknown,cll7
CodeLlama-13b-hf,meta-llama,13,CodeLlama,yes,0,unknown,cl13
Llama-3.1-8B,meta-llama,8,llama3.1,no,10,unknown,ll31
Yi-Coder-1.5B,01-ai,1.5,Yi-Coder,no,52,no,yic1
Yi-Coder-9B,01-ai,9,Yi-Coder,no,52,no
